Sun Apr 03 2016 20:50:55 GMT+0300 (GTB Daylight Time),2,472,98328,52354,185
Sun Apr 03 2016 20:51:55 GMT+0300 (GTB Daylight Time),2,466,98330,52201,185
Sun Apr 03 2016 20:52:55 GMT+0300 (GTB Daylight Time),2,470,98332,52514,185
Sun Apr 03 2016 20:53:55 GMT+0300 (GTB Daylight Time),2,472,98334,52699,185
Sun Apr 03 2016 20:54:55 GMT+0300 (GTB Daylight Time),2,466,98336,52518,185
Sun Apr 03 2016 20:55:55 GMT+0300 (GTB Daylight Time),2,471,98338,52669,185
Sun Apr 03 2016 20:56:55 GMT+0300 (GTB Daylight Time),2,468,98340,52420,185
Sun Apr 03 2016 20:57:55 GMT+0300 (GTB Daylight Time),2,472,98342,52356,185
Sun Apr 03 2016 20:58:55 GMT+0300 (GTB Daylight Time),2,472,98344,52204,185
Sun Apr 03 2016 20:59:55 GMT+0300 (GTB Daylight Time),2,472,98346,52047,185
Sun Apr 03 2016 21:00:55 GMT+0300 (GTB Daylight Time),2,472,98348,52480,185
Sun Apr 03 2016 21:01:55 GMT+0300 (GTB Daylight Time),2,471,98350,52300,185
Sun Apr 03 2016 21:02:55 GMT+0300 (GTB Daylight Time),2,472,98352,53561,185
Sun Apr 03 2016 21:03:55 GMT+0300 (GTB Daylight Time),2,469,98354,53913,183
Sun Apr 03 2016 21:04:55 GMT+0300 (GTB Daylight Time),2,472,98356,54169,182
Sun Apr 03 2016 21:05:55 GMT+0300 (GTB Daylight Time),2,514,98358,63996,175
Sun Apr 03 2016 21:06:55 GMT+0300 (GTB Daylight Time),2,547,98360,61303,169
Sun Apr 03 2016 21:07:55 GMT+0300 (GTB Daylight Time),2,547,98362,40111,167
Sun Apr 03 2016 21:08:55 GMT+0300 (GTB Daylight Time),2,546,98364,32841,166
Sun Apr 03 2016 21:09:55 GMT+0300 (GTB Daylight Time),2,546,98366,30412,166
Sun Apr 03 2016 21:10:55 GMT+0300 (GTB Daylight Time),2,544,98368,28678,168
Sun Apr 03 2016 21:11:55 GMT+0300 (GTB Daylight Time),2,541,98370,25430,169
Sun Apr 03 2016 21:12:55 GMT+0300 (GTB Daylight Time),2,536,98372,24625,169
Sun Apr 03 2016 21:13:55 GMT+0300 (GTB Daylight Time),2,538,98374,25267,170
Sun Apr 03 2016 21:14:55 GMT+0300 (GTB Daylight Time),2,539,98376,24577,171
Sun Apr 03 2016 21:15:55 GMT+0300 (GTB Daylight Time),2,538,98378,24289,172
Sun Apr 03 2016 21:16:55 GMT+0300 (GTB Daylight Time),2,536,98380,24239,174
Sun Apr 03 2016 21:17:55 GMT+0300 (GTB Daylight Time),2,535,98382,27739,175
Sun Apr 03 2016 21:18:55 GMT+0300 (GTB Daylight Time),2,536,98384,36902,176
Sun Apr 03 2016 21:19:55 GMT+0300 (GTB Daylight Time),2,538,98386,27764,177
Sun Apr 03 2016 21:20:55 GMT+0300 (GTB Daylight Time),2,537,98388,29090,179
Sun Apr 03 2016 21:21:55 GMT+0300 (GTB Daylight Time),2,538,98390,25288,180
Sun Apr 03 2016 21:22:55 GMT+0300 (GTB Daylight Time),2,536,98392,26168,181
Sun Apr 03 2016 21:23:55 GMT+0300 (GTB Daylight Time),2,536,98394,26691,181
Sun Apr 03 2016 21:24:55 GMT+0300 (GTB Daylight Time),2,530,98396,26799,180
Sun Apr 03 2016 21:25:55 GMT+0300 (GTB Daylight Time),2,530,98398,27248,180
Sun Apr 03 2016 21:26:55 GMT+0300 (GTB Daylight Time),2,536,98400,27434,179
Sun Apr 03 2016 21:27:55 GMT+0300 (GTB Daylight Time),2,536,98402,26885,179
Sun Apr 03 2016 21:28:55 GMT+0300 (GTB Daylight Time),2,532,98404,26914,179
Sun Apr 03 2016 21:29:55 GMT+0300 (GTB Daylight Time),2,535,98406,27076,180
Sun Apr 03 2016 21:30:55 GMT+0300 (GTB Daylight Time),2,530,98408,26888,180
Sun Apr 03 2016 21:31:55 GMT+0300 (GTB Daylight Time),2,534,98410,26665,180
Sun Apr 03 2016 21:32:55 GMT+0300 (GTB Daylight Time),2,532,98412,26451,180
Sun Apr 03 2016 21:33:55 GMT+0300 (GTB Daylight Time),2,532,98414,26045,181
Sun Apr 03 2016 21:34:55 GMT+0300 (GTB Daylight Time),2,535,98416,25500,182
Sun Apr 03 2016 21:35:55 GMT+0300 (GTB Daylight Time),2,534,98418,25421,182
Sun Apr 03 2016 21:36:55 GMT+0300 (GTB Daylight Time),2,533,98420,24362,182
Sun Apr 03 2016 21:37:55 GMT+0300 (GTB Daylight Time),2,534,98422,24261,182
Sun Apr 03 2016 21:38:55 GMT+0300 (GTB Daylight Time),2,528,98424,24169,182
Sun Apr 03 2016 21:39:55 GMT+0300 (GTB Daylight Time),2,534,98426,26280,182
Sun Apr 03 2016 21:40:55 GMT+0300 (GTB Daylight Time),2,533,98428,25212,182
Sun Apr 03 2016 21:41:55 GMT+0300 (GTB Daylight Time),2,533,98430,25212,182
Sun Apr 03 2016 21:42:55 GMT+0300 (GTB Daylight Time),2,532,98432,26061,182
Sun Apr 03 2016 21:43:55 GMT+0300 (GTB Daylight Time),2,529,98434,25914,182
Sun Apr 03 2016 21:44:55 GMT+0300 (GTB Daylight Time),2,529,98436,52490,182
Sun Apr 03 2016 21:45:55 GMT+0300 (GTB Daylight Time),2,533,98438,52428,183
Sun Apr 03 2016 21:46:55 GMT+0300 (GTB Daylight Time),2,532,98440,52440,183
Sun Apr 03 2016 21:47:55 GMT+0300 (GTB Daylight Time),2,532,98442,52504,182
Sun Apr 03 2016 21:48:55 GMT+0300 (GTB Daylight Time),2,532,98444,53404,182
Sun Apr 03 2016 21:49:55 GMT+0300 (GTB Daylight Time),2,532,98446,53193,182
Sun Apr 03 2016 21:50:55 GMT+0300 (GTB Daylight Time),2,532,98448,53178,183
Sun Apr 03 2016 21:51:55 GMT+0300 (GTB Daylight Time),2,531,98450,53198,183
Sun Apr 03 2016 21:52:55 GMT+0300 (GTB Daylight Time),2,532,98452,53044,185
Sun Apr 03 2016 21:53:55 GMT+0300 (GTB Daylight Time),2,531,98454,52763,185
Sun Apr 03 2016 21:54:55 GMT+0300 (GTB Daylight Time),2,532,98456,52615,183
Sun Apr 03 2016 21:55:55 GMT+0300 (GTB Daylight Time),2,531,98458,52588,185
Sun Apr 03 2016 21:56:55 GMT+0300 (GTB Daylight Time),2,531,98460,52686,185
Sun Apr 03 2016 21:57:55 GMT+0300 (GTB Daylight Time),2,529,98462,52404,185
Sun Apr 03 2016 21:58:55 GMT+0300 (GTB Daylight Time),2,530,98464,52396,185
Sun Apr 03 2016 21:59:55 GMT+0300 (GTB Daylight Time),2,532,98466,52499,185
